0Hz,1Hz,2Hz,3Hz,4Hz,5Hz,6Hz,7Hz,8Hz,9Hz,10Hz,11Hz,12Hz,13Hz,14Hz,15Hz,16Hz,17Hz,18Hz,19Hz,20Hz,21Hz,22Hz,23Hz,24Hz,25Hz,26Hz,27Hz,28Hz,29Hz,30Hz,31Hz,32Hz,33Hz,34Hz,35Hz,36Hz,37Hz,38Hz,39Hz,40Hz,41Hz,42Hz,43Hz,44Hz,45Hz,46Hz,47Hz,48Hz,49Hz,50Hz,51Hz,52Hz,53Hz,54Hz,55Hz,56Hz,57Hz,58Hz,59Hz,60Hz,61Hz,62Hz,63Hz
1,1247,692,626,1561,772,722,1131,24250,1148,473,300,1159,728,589,850,20613,865,115,181,1344,578,400,519,15594,513,285,611,3103,492,332,318,10415,349,614,941,8136,557,370,316,6229,470,777,1086,19635,639,320,282,3747,533,734,1042,46191,673,119,164,2799,437,512,881,163487,732,191,239
1,1064,597,664,368,500,545,934,23136,1056,598,746,493,259,437,679,19841,935,562,777,1213,111,273,348,15253,755,519,796,3225,349,68,31,10428,577,515,811,8558,556,175,270,6346,448,571,802,20197,666,397,441,3625,392,652,758,46658,691,576,497,2320,410,701,706,163667,685,680,467
1,1064,597,664,368,500,545,934,23136,1056,598,746,493,259,437,679,19841,935,562,777,1213,111,273,348,15253,755,519,796,3225,349,68,31,10428,577,515,811,8558,556,175,270,6346,448,571,802,20197,666,397,441,3625,392,652,758,46658,691,576,497,2320,410,701,706,163667,685,680,467
1,1064,597,664,368,500,545,934,23136,1056,598,746,493,259,437,679,19841,935,562,777,1213,111,273,348,15253,755,519,796,3225,349,68,31,10428,577,515,811,8558,556,175,270,6346,448,571,802,20197,666,397,441,3625,392,652,758,46658,691,576,497,2320,410,701,706,163667,685,680,467
1,1064,597,664,368,500,545,934,23136,1056,598,746,493,259,437,679,19841,935,562,777,1213,111,273,348,15253,755,519,796,3225,349,68,31,10428,577,515,811,8558,556,175,270,6346,448,571,802,20197,666,397,441,3625,392,652,758,46658,691,576,497,2320,410,701,706,163667,685,680,467
1,1064,597,664,368,500,545,934,23136,1056,598,746,493,259,437,679,19841,935,562,777,1213,111,273,348,15253,755,519,796,3225,349,68,31,10428,577,515,811,8558,556,175,270,6346,448,571,802,20197,666,397,441,3625,392,652,758,46658,691,576,497,2320,410,701,706,163667,685,680,467
1,988,604,566,836,633,631,1007,22684,840,523,418,871,624,616,907,19443,591,385,286,1636,586,580,735,14949,300,193,369,3745,570,560,557,10265,43,43,561,9023,578,588,425,6386,153,278,699,20545,585,656,338,3925,233,492,739,46871,592,715,267,2838,235,646,697,163739,630,721,226
1,988,604,566,836,633,631,1007,22684,840,523,418,871,624,616,907,19443,591,385,286,1636,586,580,735,14949,300,193,369,3745,570,560,557,10265,43,43,561,9023,578,588,425,6386,153,278,699,20545,585,656,338,3925,233,492,739,46871,592,715,267,2838,235,646,697,163739,630,721,226
1,988,604,566,836,633,631,1007,22684,840,523,418,871,624,616,907,19443,591,385,286,1636,586,580,735,14949,300,193,369,3745,570,560,557,10265,43,43,561,9023,578,588,425,6386,153,278,699,20545,585,656,338,3925,233,492,739,46871,592,715,267,2838,235,646,697,163739,630,721,226
1,988,604,566,836,633,631,1007,22684,840,523,418,871,624,616,907,19443,591,385,286,1636,586,580,735,14949,300,193,369,3745,570,560,557,10265,43,43,561,9023,578,588,425,6386,153,278,699,20545,585,656,338,3925,233,492,739,46871,592,715,267,2838,235,646,697,163739,630,721,226
1,988,604,566,836,633,631,1007,22684,840,523,418,871,624,616,907,19443,591,385,286,1636,586,580,735,14949,300,193,369,3745,570,560,557,10265,43,43,561,9023,578,588,425,6386,153,278,699,20545,585,656,338,3925,233,492,739,46871,592,715,267,2838,235,646,697,163739,630,721,226
1,778,315,270,294,226,172,745,22055,732,459,384,795,167,61,639,18806,661,587,611,1699,108,82,535,14303,639,679,880,3662,113,127,521,9606,668,718,1101,8831,129,122,572,5703,680,691,1202,20348,194,84,596,3203,634,600,1150,46731,397,140,564,2089,559,458,958,163688,681,291,529
1,804,440,489,159,292,398,920,21844,625,454,642,622,156,326,903,18742,468,451,722,1432,171,229,736,14417,394,444,766,3553,164,143,467,9850,402,451,845,8971,161,174,305,5952,482,476,968,20610,369,291,488,3287,620,505,1065,46962,661,405,702,1927,750,513,1057,163779,914,482,794
1,804,440,489,159,292,398,920,21844,625,454,642,622,156,326,903,18742,468,451,722,1432,171,229,736,14417,394,444,766,3553,164,143,467,9850,402,451,845,8971,161,174,305,5952,482,476,968,20610,369,291,488,3287,620,505,1065,46962,661,405,702,1927,750,513,1057,163779,914,482,794
1,804,440,489,159,292,398,920,21844,625,454,642,622,156,326,903,18742,468,451,722,1432,171,229,736,14417,394,444,766,3553,164,143,467,9850,402,451,845,8971,161,174,305,5952,482,476,968,20610,369,291,488,3287,620,505,1065,46962,661,405,702,1927,750,513,1057,163779,914,482,794
1,804,440,489,159,292,398,920,21844,625,454,642,622,156,326,903,18742,468,451,722,1432,171,229,736,14417,394,444,766,3553,164,143,467,9850,402,451,845,8971,161,174,305,5952,482,476,968,20610,369,291,488,3287,620,505,1065,46962,661,405,702,1927,750,513,1057,163779,914,482,794
1,824,467,494,186,315,436,948,21890,632,470,640,650,202,371,937,18787,458,457,718,1450,198,274,772,14460,369,445,767,3553,158,164,500,9893,370,448,853,8964,115,138,307,5994,451,470,981,20601,348,246,459,3330,591,493,1078,46956,654,365,669,1972,720,493,1067,163777,918,452,762
1,715,355,556,384,451,371,903,21463,511,304,570,751,324,358,995,18411,390,218,469,1733,251,329,966,14170,349,100,342,3988,286,310,854,9726,271,37,467,9379,441,325,745,5996,111,179,769,20920,681,371,699,3538,171,302,1032,47154,934,414,674,2356,408,388,1157,163844,1115,425,588
1,715,355,556,384,451,371,903,21463,511,304,570,751,324,358,995,18411,390,218,469,1733,251,329,966,14170,349,100,342,3988,286,310,854,9726,271,37,467,9379,441,325,745,5996,111,179,769,20920,681,371,699,3538,171,302,1032,47154,934,414,674,2356,408,388,1157,163844,1115,425,588
1,715,355,556,384,451,371,903,21463,511,304,570,751,324,358,995,18411,390,218,469,1733,251,329,966,14170,349,100,342,3988,286,310,854,9726,271,37,467,9379,441,325,745,5996,111,179,769,20920,681,371,699,3538,171,302,1032,47154,934,414,674,2356,408,388,1157,163844,1115,425,588
1,715,355,556,384,451,371,903,21463,511,304,570,751,324,358,995,18411,390,218,469,1733,251,329,966,14170,349,100,342,3988,286,310,854,9726,271,37,467,9379,441,325,745,5996,111,179,769,20920,681,371,699,3538,171,302,1032,47154,934,414,674,2356,408,388,1157,163844,1115,425,588
1,739,388,594,411,486,408,940,21497,503,319,604,729,348,386,1031,18431,353,207,495,1698,259,343,992,14173,321,69,371,3951,272,310,870,9713,269,75,502,9341,409,313,754,5971,122,204,802,20886,643,345,701,3506,135,304,1053,47129,903,378,666,2320,376,366,1161,163835,1100,389,567
1,703,609,386,608,457,564,698,20594,768,587,352,933,471,451,733,17699,809,515,362,1664,355,282,701,13646,766,433,390,3860,176,111,539,9332,679,409,522,9393,423,207,285,5588,668,474,791,21052,829,402,283,2933,762,573,1091,47297,1164,557,568,1475,835,641,1300,163903,1334,639,778
1,703,609,386,608,457,564,698,20594,768,587,352,933,471,451,733,17699,809,515,362,1664,355,282,701,13646,766,433,390,3860,176,111,539,9332,679,409,522,9393,423,207,285,5588,668,474,791,21052,829,402,283,2933,762,573,1091,47297,1164,557,568,1475,835,641,1300,163903,1334,639,778
1,703,609,386,608,457,564,698,20594,768,587,352,933,471,451,733,17699,809,515,362,1664,355,282,701,13646,766,433,390,3860,176,111,539,9332,679,409,522,9393,423,207,285,5588,668,474,791,21052,829,402,283,2933,762,573,1091,47297,1164,557,568,1475,835,641,1300,163903,1334,639,778
1,703,609,386,608,457,564,698,20594,768,587,352,933,471,451,733,17699,809,515,362,1664,355,282,701,13646,766,433,390,3860,176,111,539,9332,679,409,522,9393,423,207,285,5588,668,474,791,21052,829,402,283,2933,762,573,1091,47297,1164,557,568,1475,835,641,1300,163903,1334,639,778
1,703,609,386,608,457,564,698,20594,768,587,352,933,471,451,733,17699,809,515,362,1664,355,282,701,13646,766,433,390,3860,176,111,539,9332,679,409,522,9393,423,207,285,5588,668,474,791,21052,829,402,283,2933,762,573,1091,47297,1164,557,568,1475,835,641,1300,163903,1334,639,778
1,784,652,385,264,377,657,702,20189,880,578,433,826,411,609,686,17343,886,435,420,1855,443,540,679,13371,743,236,272,4240,540,499,626,9171,474,15,129,9775,772,525,580,5573,283,235,487,21353,1064,597,639,3088,482,443,898,47486,1289,658,763,1784,720,591,1213,163968,1351,663,816
1,784,652,385,264,377,657,702,20189,880,578,433,826,411,609,686,17343,886,435,420,1855,443,540,679,13371,743,236,272,4240,540,499,626,9171,474,15,129,9775,772,525,580,5573,283,235,487,21353,1064,597,639,3088,482,443,898,47486,1289,658,763,1784,720,591,1213,163968,1351,663,816
1,784,652,385,264,377,657,702,20189,880,578,433,826,411,609,686,17343,886,435,420,1855,443,540,679,13371,743,236,272,4240,540,499,626,9171,474,15,129,9775,772,525,580,5573,283,235,487,21353,1064,597,639,3088,482,443,898,47486,1289,658,763,1784,720,591,1213,163968,1351,663,816
